"Cod_TSE","Cod_IBGE","UF","localidade"
"89001","4300471","RS","ALMIRANTE TAMANDARE DO SUL"
"88986","4300034","RS","ACEGUA"
"12727","2200950","PI","AROEIRAS DO ITAIM"
"89028","4301073","RS","ARROIO DO PADRE"
"30775","2903276","BA","BARROCAS"
"89060","4302238","RS","BOA VISTA DO INCRA"
"89044","4302220","RS","BOA VISTA DO CADEADO"
"90905","5101852","MT","BOM JESUS DO ARAGUAIA"
"89087","4302584","RS","BOZANO"
"34010","2901550","BA","CAEM"
"22292","2504023","PB","CAMPO DE SANTANA"
"93580","5204854","GO","CAMPO LIMPO DE GOIAS"
"89109","4304614","RS","CANUDOS DO VALE"
"89125","4304622","RS","CAPAO BONITO DO SUL"
"89141","4304655","RS","CAPAO DO CIPO"
"89788","5103254","MT","COLNIZA"
"91006","5103361","MT","CONQUISTA DOESTE"
"89168","4305835","RS","COQUEIRO BAIXO"
"89184","4305934","RS","CORONEL PILAR"
"89206","4306130","RS","CRUZALTENSE"
"89800","5103437","MT","CURVELANDIA"
"98614","5003856","MS","FIGUEIRAO"
"89222","4308433","RS","FORQUETINHA"
"93564","5208152","GO","GAMELEIRA DE GOIAS"
"56308","3202256","ES","GOVERNADOR LINDENBERG"
"33650","2911550","BA","GOVERNADOR LOMANTO JUNIOR"
"93548","5210158","GO","IPIRANGA DE GOIAS"
"99095","5104535","MT","IPIRANGA DO NORTE"
"99110","5104545","MT","ITANHANGA"
"89249","4310652","RS","ITATI"
"89265","4310876","RS","JACUIZINHO"
"27065","2703759","AL","JEQUIA DA PRAIA"
"16306","2406155","RN","JUNDIA"
"89281","4311239","RS","LAGOA BONITA DO SUL"
"93602","5212253","GO","LAGOA SANTA"
"36919","2919450","BA","LIVRAMENTO DE NOSSA SENHORA"
"30007","2919553","BA","LUIS EDUARDO MAGALHAES"
"89303","4312179","RS","MATO QUEIMADO"
"58467","3302858","RJ","MESQUITA"
"90964","5106174","MT","NOVA NAZARE"
"89826","5106190","MT","NOVA SANTA HELENA"
"90948","5106315","MT","NOVO SANTO ANTONIO"
"89320","4313466","RS","NOVO XINGU"
"12718","2207793","PI","PAU DARCO DO PIAUI"
"89346","4314134","RS","PAULO BENTO"
"89567","4314175","RS","PEDRAS ALTAS"
"89362","4314464","RS","PINHAL DA SERRA"
"89389","4315313","RS","QUATRO IRMAOS"
"89400","4315958","RS","ROLADOR"
"89960","5107578","MT","RONDOLANDIA"
"89247","4316733","RS","SANTA CECILIA DO SUL"
"90980","5107743","MT","SANTA CRUZ DO XINGU"
"89443","4316972","RS","SANTA MARGARIDA DO SUL"
"91049","5107768","MT","SANTA RITA DO TRIVELATO"
